kickoff	venue	home_team	away_team	score	home_elo	away_elo	elo_diff	elo_swap
2014-12-14	Stade Municipal de Roudourou	Guingamp	PSG	1 - 0	1524	1862	338	17.5
2013-12-04	Parc des Sports	Evian	PSG	2 - 0	1512	1854	342	17.5
2015-01-10	Stade Armand-Cesari	Bastia	PSG	4 - 2	1526	1840	314	17.2
2013-03-02	Stade Auguste Delaune II	Reims	PSG	1 - 0	1515	1822	307	17.1
2014-05-07	Parc des Princes	PSG	Rennes	1 - 2	1858	1553	305	17.1
2013-02-17	Stade Bonal	Sochaux	PSG	3 - 2	1545	1830	285	16.8
2012-10-21	Stade de l'Aube	Troyes	Marseille	1 - 0	1458	1702	244	16.1
2013-03-16	Stade Armand-Cesari-Furiani	Bastia	Lyon	4 - 1	1514	1729	215	15.5
2015-03-15	Stade Jacques-Chaban-Delmas	Bordeaux	PSG	3 - 2	1629	1846	217	15.5
2012-09-14	Stade Auguste Delaune II	Reims	Montpellier	3 - 1	1511	1720	209	15.4
2015-05-09	Stade Michel-d'Ornano	Caen	Lyon	3 - 0	1541	1751	210	15.4
2015-03-21	Stade de Gerland	Lyon	Nice	1 - 2	1753	1547	206	15.3
2014-08-24	Stade de Gerland	Lyon	Lens	0 - 1	1668	1463	205	15.3
2013-02-03	Stade Francois-Coty	Ajaccio	Lyon	3 - 1	1548	1750	202	15.2
2012-10-28	Stade Armand-Cesari-Furiani	Bastia	Bordeaux	3 - 1	1509	1704	195	15.1
