on_target	goal	distance	headed
0	0	27.082282030877682	false
0	0	25.54407954888961	false
0	0	38.680356771880994	false
1	0	35.252943139545096	false
0	0	26.644323973409428	false
0	0	19.80631212517868	false
1	0	24.03081355260367	false
0	0	26.518861212352235	false
0	0	32.75622078323445	false
0	0	31.335921878891646	false
0	0	28.572714256787016	false
0	0	24.524681445433696	false
0	0	28.239688383549844	false
1	0	25.878562556679995	false
0	0	26.644323973409428	false
0	0	31.674121929423713	false
1	0	33.380383460949034	false
0	0	22.970633426181355	false
0	0	27.627884464793897	false
1	0	36.85986977730659	false
1	0	28.29310870159022	false
1	1	15.673225577397902	false
0	0	13.120975573485385	true
0	0	22.784643951574047	false
1	0	31.23203483604615	false
0	0	18.383144453547654	false
0	0	28.04460732476032	false
0	0	29.561123118041372	false
0	0	25.114935795259363	false
1	0	22.450835173774717	false
0	0	16.89082591231109	false
1	0	25.360205046489668	false
1	0	26.851629373280122	false
1	1	20.550669088864232	false
1	0	22.67531697683628	false
1	0	21.0774761297457	false
0	0	34.16035714099019	false
0	0	29.693938775447087	false
0	0	27.769407627819504	false
0	0	22.03270296627266	false
0	0	21.592822881689184	false
1	0	24.328584011405184	false
1	1	7.83134726595622	true
1	1	12.836276718737412	false
0	0	25.741989045137903	false
1	0	20.260799589354814	false
0	0	29.29334395387457	false
0	0	30.20066224439458	false
1	0	25.04495957273639	false
1	0	28.44855005092527	false
1	1	15.720368952413295	false
0	0	27.449225854293235	false
1	0	19.062528688503004	false
0	0	18.748866632412753	false
0	0	28.264465323087222	false
1	0	28.112808468738944	false
0	0	36.35876785591063	false
0	0	26.142876658852973	false
0	0	21.652020690919354	false
0	0	23.48872069739005	false
0	0	13.875518008348369	false
0	0	15.063200191194426	true
0	0	19.875864761061347	false
1	0	20.799278833651908	false
1	1	24.1629882257969	false
1	1	18.66815470259447	false
0	0	21.825672956406184	false
1	0	30.509834480049214	false
0	0	23.067076104266015	false
0	0	28.7360400890589	false
0	0	24.508161905781513	false
0	0	26.24271327435484	false
0	0	28.67542501864619	false
0	0	23.215727427758974	false
0	0	12.10660976491767	false
