distance	nb	headed	on_target	goal
1.0	1	0	1	1
2.0	11	5	10	10
3.0	18	6	14	11
4.0	35	9	24	20
5.0	79	34	50	36
6.0	95	55	50	39
7.0	156	88	78	46
8.0	220	140	93	49
9.0	240	147	97	46
10.0	270	154	110	50
11.0	316	170	123	50
12.0	423	145	225	146
13.0	339	140	124	40
14.0	345	125	130	46
15.0	324	66	130	37
16.0	296	57	128	40
17.0	272	40	119	27
18.0	281	20	112	30
19.0	305	25	115	23
20.0	277	11	100	19
21.0	248	4	107	14
22.0	269	3	97	14
23.0	320	2	93	20
24.0	346	1	97	13
25.0	349	0	97	19
26.0	368	0	121	13
27.0	381	0	96	8
28.0	374	0	83	4
29.0	326	0	90	7
30.0	334	0	60	7
31.0	219	0	57	6
32.0	207	0	48	1
33.0	160	0	36	2
34.0	109	0	24	1
35.0	97	0	25	2
36.0	61	0	15	2
37.0	62	0	20	2
38.0	31	0	7	1
39.0	40	0	11	2
40.0	24	0	6	0
41.0	21	0	5	1
42.0	15	0	6	0
43.0	8	0	4	0
44.0	10	0	2	0
45.0	2	0	1	0
46.0	7	0	0	0
47.0	7	0	3	1
48.0	3	0	0	0
49.0	4	0	1	1
50.0	3	0	1	1
51.0	1	0	1	1
52.0	5	0	1	1
53.0	3	0	0	0
54.0	2	0	0	0
55.0	1	0	0	0
56.0	3	0	1	0
57.0	3	0	0	0
61.0	1	0	1	1
67.0	1	0	0	0
77.0	1	0	0	0
82.0	1	1	1	1
83.0	1	0	1	1
84.0	1	0	1	1
87.0	1	0	1	1
89.0	1	0	1	1
90.0	3	0	3	3
91.0	2	2	2	2
92.0	1	0	1	1
93.0	3	1	3	3
94.0	1	0	1	1
95.0	1	1	1	1
96.0	5	1	5	5
97.0	3	0	3	3
98.0	6	1	6	6
99.0	6	1	6	6
