name	on_target	shots	goals	sot_ratio
Christophe Mandanne	26	41	9	0.63
Clinton N'Jie	23	37	4	0.62
Mevlut Erding	19	32	7	0.59
Cheick Diabaté	20	36	8	0.56
Alexandre Lacazette	46	82	24	0.56
Modibo Maiga	17	31	7	0.55
Zlatan Ibrahimovic	47	85	17	0.55
Florent Malouda	19	36	2	0.53
Lucas Barrios	18	34	11	0.53
Michy	16	31	8	0.52
Claudio Beauvue	31	62	12	0.5
Alassane Pléa	21	43	3	0.49
Edinson Cavani	37	76	8	0.49
Ola Toivonen	21	43	6	0.49
Nabil Fekir	32	67	12	0.48
Anthony Martial	16	33	6	0.48
Wissam Ben Yedder	31	68	11	0.46
Raphael Guerreiro	22	49	7	0.45
André-Pierre Gignac	51	116	18	0.44
André Ayew	18	42	7	0.43
Daniel Wass	19	45	8	0.42
Floyd Ayité	16	38	4	0.42
Divock Origi	18	43	7	0.42
Souleymane Camara	21	50	3	0.42
Jordan Ayew	36	88	9	0.41
Corentin Tolisso	15	37	6	0.41
Diego	17	41	5	0.41
Abdoulaye Doucouré	17	42	3	0.4
Morgan Sanson	17	42	6	0.4
Paul-Georges Ntep	20	50	9	0.4
Dimitar Berbatov	21	52	7	0.4
Wahbi Khazri	24	60	8	0.4
Benjamin Moukandjo	16	41	7	0.39
Lucas Moura	15	38	7	0.39
Pablo Chavarria	16	42	5	0.38
Kévin Berigaud	15	40	4	0.38
Mathieu Duhamel	23	61	8	0.38
Carlos Eduardo	23	61	9	0.38
Bengali-Fodé Koita	18	47	3	0.38
Nolan Roux	18	47	6	0.38
Martin Braithwaite	21	56	3	0.38
Valentin Eysseric	18	49	2	0.37
Yannick Ferreira-Carrasco	20	56	4	0.36
Benjamin Jeannot	24	67	7	0.36
Diego Rolan	17	49	11	0.35
Bouna Sarr	13	37	1	0.35
Dimitri Payet	22	64	6	0.34
Max Gradel	26	76	10	0.34
Éric Bautheac	14	43	5	0.33
Ryad Boudebouz	11	33	5	0.33
Lenny Nangis	13	39	4	0.33
Jordan Veretout	14	42	6	0.33
Thomas Touré	15	45	2	0.33
Herve Bazile	11	34	5	0.32
Pedro Henrique	11	36	2	0.31
Julien Féret	10	32	6	0.31
Gianni Bruno	11	35	2	0.31
João Moutinho	11	35	2	0.31
Anthony Mounier	13	42	7	0.31
Yeni N'Gbakoto	14	46	5	0.3
Yacine Bammou	17	56	4	0.3
Walid Mesloub	11	41	0	0.27
Prince Oniangué	11	41	3	0.27
Gaëtan Charbonnier	12	47	4	0.26
Serge Gakpe	11	43	2	0.26
Pierrick Valdivia	12	47	1	0.26
Wylan Cyprien	9	34	2	0.26
Florian Thauvin	17	67	5	0.25
Aleksandar Pesic	14	55	6	0.25
Gianelli Imbula	11	45	2	0.24
Jordan Ferri	8	34	1	0.24
Adamo Coulibaly	13	55	4	0.24
Guirane N'Daw	7	33	0	0.21
